GeneID	Pooled.screen.phenotype
PF3D7_1347000	not.classified
PF3D7_1417600	not.classified
PF3D7_0905300	not.classified
PF3D7_1457400	not.classified
PF3D7_0605000	not.classified
PF3D7_1103000	not.classified
PF3D7_0818900	not.classified
PF3D7_0219700	not.classified
PF3D7_1411800	not.classified
PF3D7_0721400	not.classified
PF3D7_1437000	not.classified
PF3D7_0920800	not.classified
PF3D7_1319100	not.classified
PF3D7_1471200	not.classified
PF3D7_0208800	not.classified
PF3D7_0522800	not.classified
PF3D7_1417200	not.classified
PF3D7_1313100	not.classified
PF3D7_0511300	not.classified
PF3D7_1212700	not.classified
PF3D7_1340900	not.classified
PF3D7_1226800	not.classified
PF3D7_1021300	not.classified
PF3D7_1356400	not.classified
PF3D7_1431800	not.classified
PF3D7_0414300	not.classified
PF3D7_0629600	not.classified
PF3D7_1218100	not.classified
PF3D7_1401800	not.classified
PF3D7_0812100	not.classified
PF3D7_0520800	not.classified
PF3D7_1323300	not.classified
PF3D7_1140600	not.classified
PF3D7_0811200	not.classified
PF3D7_0207600	not.classified
PF3D7_1447000	not.classified
PF3D7_1037400	not.classified
PF3D7_1437700	not.classified
PF3D7_1138400	not.classified
PF3D7_0620700	not.classified
PF3D7_0104100	not.classified
PF3D7_1149100	not.classified
PF3D7_1309100	not.classified
PF3D7_1128700	not.classified
PF3D7_1231900	not.classified
PF3D7_1326000	not.classified
PF3D7_1358400	not.classified
PF3D7_1451400	not.classified
PF3D7_0631200	not.classified
PF3D7_1107400	not.classified
PF3D7_1037000	not.classified
PF3D7_0411800	not.classified
PF3D7_0501000	not.classified
PF3D7_1231500	not.classified
PF3D7_1011700	not.classified
PF3D7_1014200	not.classified
PF3D7_1353400	not.classified
PF3D7_1023800	not.classified
PF3D7_0813000	not.classified
PF3D7_0210800	not.classified
PF3D7_1325300	not.classified
PF3D7_0613300	not.classified
PF3D7_0524300	not.classified
PF3D7_1415600	not.classified
PF3D7_0103500	not.classified
PF3D7_0105100	not.classified
PF3D7_1108100	not.classified
PF3D7_1147300	not.classified
PF3D7_1030600	not.classified
PF3D7_0311500	not.classified
PF3D7_1241800	not.classified
PF3D7_1419300	not.classified
PF3D7_1128100	not.classified
PF3D7_0308600	not.classified
PF3D7_0727300	not.classified
PF3D7_1475400	not.classified
PF3D7_1317100	not.classified
PF3D7_1105300	not.classified
PF3D7_1328500	not.classified
PF3D7_1352600	not.classified
PF3D7_0711200	not.classified
PF3D7_0202000	not.classified
PF3D7_1477800	not.classified
PF3D7_1428100	not.classified
PF3D7_0404500	not.classified
PF3D7_1223700	not.classified
PF3D7_0809600	not.classified
PF3D7_0630500	not.classified
PF3D7_1036800	not.classified
PF3D7_1430100	not.classified
PF3D7_0906500	not.classified
PF3D7_0727600	not.classified
PF3D7_0931500	not.classified
PF3D7_1017600	not.classified
PF3D7_1414700	not.classified
PF3D7_0925700	not.classified
PF3D7_1415200	not.classified
PF3D7_1331100	not.classified
PF3D7_1006700	not.classified
PF3D7_1040100	not.classified
PF3D7_1026400	not.classified
PF3D7_0304400	not.classified
PF3D7_1302800	not.classified
PF3D7_1115900	not.classified
PF3D7_1116800	not.classified
PF3D7_1126700	not.classified
PF3D7_1429300	not.classified
PF3D7_0909200	not.classified
PF3D7_1418100	not.classified
