V1	V2
PF3D7_0200500	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0200600	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0200700	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0201000	GO:0020002,GO:0020033
PF3D7_0201200	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0201300	GO:0005634,GO:0020013,GO:0020036
PF3D7_0201400	GO:0043657
PF3D7_0201500	GO:0020036,GO:0043657
PF3D7_0201600	GO:0020035,GO:0044164,GO:0044228
PF3D7_0201700	GO:0020036
PF3D7_0201800	GO:0005515,GO:0005634,GO:0020030,GO:0020036
PF3D7_0201900	GO:0005515,GO:0005634,GO:0005737,GO:0020003,GO:0020036,GO:1903561
PF3D7_0202000	GO:0005515,GO:0005634,GO:0005737,GO:0020030,GO:0020035,GO:0020036,GO:1903561
PF3D7_0202100	GO:0020036,GO:0043657
PF3D7_0202200	GO:0016021,GO:0020036,GO:0030430,GO:0044877
PF3D7_0202300	GO:0020036,GO:0043657
PF3D7_0202400	GO:0005737,GO:0005886,GO:0006417,GO:0020003,GO:0030430,GO:0043022,GO:0043657
PF3D7_0202500	GO:0005634,GO:0020005,GO:1903561
PF3D7_0202700	GO:0004659,GO:0005737,GO:0005739,GO:0016117,GO:0020011,GO:0046905
PF3D7_0202900	GO:0016409,GO:0018345
PF3D7_0203000	GO:0020008
PF3D7_0203100	GO:0004674,GO:0006468
PF3D7_0203300	GO:0003684,GO:0004520,GO:0006289
PF3D7_0203400	GO:0005634
PF3D7_0203500	GO:0030533
PF3D7_0203700	GO:0005730,GO:0030687,GO:0042273
PF3D7_0203900	GO:0008409,GO:0020011
PF3D7_0204000	GO:0000796
PF3D7_0204100	GO:0005829
PF3D7_0204200	GO:0005634
PF3D7_0204500	GO:0005739,GO:0006520,GO:0008483
PF3D7_0204600	GO:0020011
PF3D7_0204700	GO:0005353,GO:0005355,GO:0005634,GO:0005887,GO:0009986,GO:0015149,GO:0015755,GO:0016021,GO:0020020,GO:0042493,GO:0055056,GO:1904659
PF3D7_0204800	GO:0005739,GO:0008408
PF3D7_0204900	GO:0005759,GO:0006744,GO:0043334,GO:0044310
PF3D7_0205500	GO:0003899,GO:0005634,GO:0006366
PF3D7_0205600	GO:0005634
PF3D7_0205800	GO:0005737,GO:0008289
PF3D7_0205900	GO:0005634,GO:0005838,GO:0006511
PF3D7_0206000	GO:0000014,GO:0000112,GO:0000781,GO:0006295
PF3D7_0206100	GO:0005515,GO:0008047,GO:0020011,GO:0031071
PF3D7_0206200	GO:0005886,GO:0015233,GO:0015887,GO:0016021,GO:0020009,GO:0031410,GO:0035891,GO:0044310,GO:0071976
PF3D7_0206500	GO:0005634
PF3D7_0206600	GO:0001056,GO:0005666
PF3D7_0206700	GO:0004018,GO:0005634,GO:0006163,GO:0020036
PF3D7_0206800	GO:0005634,GO:0005887,GO:0016021,GO:0046658
PF3D7_0206900	GO:0016021,GO:0046658
PF3D7_0207000	GO:0016021,GO:0020036,GO:0046658
PF3D7_0207200	GO:0005739
PF3D7_0207300	GO:0006508,GO:0008234
PF3D7_0207400	GO:0002377,GO:0006508,GO:0008234,GO:0050776
PF3D7_0207500	GO:0002377,GO:0005634,GO:0006508,GO:0008234,GO:0020003,GO:0035891,GO:0050776
PF3D7_0207600	GO:0002377,GO:0005515,GO:0005634,GO:0006508,GO:0008234,GO:0020003,GO:0035891,GO:0050776,GO:1903561
PF3D7_0207700	GO:0002377,GO:0006508,GO:0008234,GO:0020003,GO:0050776
PF3D7_0207800	GO:0002377,GO:0006508,GO:0008234,GO:0050776
PF3D7_0207900	GO:0002377,GO:0006508,GO:0008234,GO:0050776
PF3D7_0208000	GO:0002377,GO:0006508,GO:0008234,GO:0050776
PF3D7_0208100	GO:0005634
PF3D7_0208200	GO:0005634,GO:0006364,GO:0030688,GO:0042274
PF3D7_0208500	GO:0008897,GO:0020011
PF3D7_0208600	GO:0020011,GO:0032790
PF3D7_0208800	GO:0005829,GO:0005886
PF3D7_0208900	GO:0005737,GO:0009986
PF3D7_0209000	GO:0005515,GO:0005886
PF3D7_0209100	GO:0004623,GO:0005829,GO:0006644
PF3D7_0209200	GO:0000178,GO:0044310
PF3D7_0209300	GO:0020011
PF3D7_0209600	GO:0016021
PF3D7_0209700	GO:0005829
PF3D7_0209800	GO:0003723,GO:0004004,GO:0005634,GO:0005737,GO:0036396
PF3D7_0210000	GO:0005784,GO:0005789,GO:0008565,GO:0043952
PF3D7_0210100	GO:0003735,GO:0005634,GO:0006412,GO:0022625
PF3D7_0210200	GO:0005634
PF3D7_0210300	GO:0008028,GO:0015718,GO:0016021
PF3D7_0210600	GO:0008289,GO:0020008,GO:0033016,GO:0044409,GO:0045177
PF3D7_0210700	GO:0005484,GO:0005886,GO:0006886,GO:0016192,GO:0031201,GO:0031338
PF3D7_0210800	GO:0020011
PF3D7_0210900	GO:0005634,GO:0006412,GO:0036396
PF3D7_0211200	GO:0005515,GO:0005768,GO:0007264,GO:0016020,GO:0032889,GO:0060627
PF3D7_0211400	GO:0005504,GO:0006633,GO:0020011,GO:0033818
PF3D7_0211600	GO:0004577,GO:0006488
PF3D7_0211700	GO:0004672,GO:0006468
PF3D7_0211800	GO:0004816,GO:0005634,GO:0006421
PF3D7_0212100	GO:0005634,GO:0034399
PF3D7_0212200	GO:0005634,GO:0005739
PF3D7_0212300	GO:0003747,GO:0005634,GO:0018444
PF3D7_0212600	GO:0009986,GO:0020008,GO:0020009,GO:0045177,GO:0098609
PF3D7_0212800	GO:0016021,GO:0042493
PF3D7_0212900	GO:0004057,GO:0016598
PF3D7_0213100	GO:0005634,GO:0005829,GO:0006986,GO:0009408,GO:0020036
PF3D7_0213300	GO:0005739
PF3D7_0213400	GO:0004672,GO:0005737,GO:0006468,GO:0020014
PF3D7_0213600	GO:0005634
PF3D7_0213800	GO:0045177
PF3D7_0213900	GO:0005829
PF3D7_0214000	GO:0005515,GO:0005634,GO:0005829,GO:0005832,GO:0006457,GO:0020036,GO:0030430,GO:0045177
PF3D7_0214100	GO:0006888,GO:0020036,GO:0030127,GO:0030134,GO:0030430,GO:0044053
PF3D7_0214200	GO:0003735,GO:0005739,GO:0005762
PF3D7_0214600	GO:0004672,GO:0006468
PF3D7_0214800	GO:0016021
PF3D7_0214900	GO:0020003,GO:0044409,GO:1990225
PF3D7_0215000	GO:0004467,GO:0006631,GO:0015909
PF3D7_0215300	GO:0004467,GO:0006631,GO:0015909
PF3D7_0215700	GO:0005634,GO:0006366
PF3D7_0215800	GO:0003688,GO:0005524,GO:0005656,GO:0006267,GO:0016887
PF3D7_0215900	GO:0016409,GO:0018345
PF3D7_0216400	GO:0005737,GO:0015031,GO:0098657
PF3D7_0216800	GO:0016021
PF3D7_0217000	GO:0016021
PF3D7_0217100	GO:0005739
PF3D7_0217300	GO:0005515
PF3D7_0217500	GO:0005515,GO:0005886,GO:0006468,GO:0009931,GO:0016020,GO:0020003,GO:0020005,GO:0035891,GO:0042493,GO:0044409,GO:0071889
PF3D7_0217800	GO:0003735,GO:0005634,GO:0006412,GO:0022627
PF3D7_0218000	GO:0005634,GO:0005663
PF3D7_0218200	GO:0005829
PF3D7_0218300	GO:0020011
PF3D7_0218400	GO:0004004
PF3D7_0218500	GO:0000387,GO:0003723,GO:0071013
PF3D7_0218600	GO:0006629,GO:0016298
PF3D7_0218700	GO:0005634
PF3D7_0219200	GO:0003735,GO:0006412,GO:0022627
PF3D7_0219500	GO:0020011,GO:0020036
PF3D7_0219600	GO:0005634,GO:0005663,GO:0006260,GO:0006281,GO:0034399
PF3D7_0219700	GO:0020036,GO:0043657
PF3D7_0219800	GO:0043657
PF3D7_0219900	GO:0043657
PF3D7_0220000	GO:0020026,GO:0044228
PF3D7_0220100	GO:0020036
PF3D7_0220200	GO:0020036,GO:0043657
PF3D7_0220300	GO:0043657
PF3D7_0220500	GO:0043657
PF3D7_0220600	GO:0043657
PF3D7_0220700	GO:0043657
PF3D7_0220800	GO:0020008
PF3D7_0221000	GO:0016020,GO:0043657
PF3D7_0221200	GO:0043657
PF3D7_0221400	GO:0020013,GO:0020036
PF3D7_0221700	GO:0020036,GO:0043657
PF3D7_0222000	GO:0020036
PF3D7_0222100	GO:0005634,GO:0016021,GO:0020036,GO:0042000
PF3D7_0222200	GO:0020036
PF3D7_0222500	GO:0020002,GO:0020033
PF3D7_0222600	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0222700	GO:0020002,GO:0020033
PF3D7_0222800	GO:0020013,GO:0020036
PF3D7_0223100	GO:0020002,GO:0020003,GO:0020012,GO:0020013,GO:0020033,GO:0020035,GO:0020036,GO:0046789
PF3D7_0223200	GO:0020002,GO:0020033
PF3D7_0223400	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0223500	GO:0020002,GO:0020013,GO:0020030,GO:0020033,GO:0020035,GO:0046789,GO:0050839,GO:0098609
PF3D7_0300200	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0300400	GO:0020013,GO:0033644
PF3D7_0300500	GO:0020002,GO:0020033
PF3D7_0300700	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0300800	GO:0020002,GO:0020003,GO:0020013,GO:0020033,GO:0020035,GO:0020036
PF3D7_0301000	GO:0004467,GO:0006631,GO:0016208
PF3D7_0301100	GO:0043657
PF3D7_0301200	GO:0006468,GO:0020008,GO:0044003
PF3D7_0301300	GO:0004301,GO:0030507,GO:0044164,GO:0044538
PF3D7_0301400	GO:0043657
PF3D7_0301500	GO:0043657
PF3D7_0301600	GO:0020036,GO:0043657
PF3D7_0301700	GO:0020036,GO:0030430,GO:1903561
PF3D7_0301800	GO:0020036,GO:0043657
PF3D7_0302000	GO:0005681
PF3D7_0302100	GO:0004674,GO:0005634,GO:0005737,GO:0006468
PF3D7_0302200	GO:0005253,GO:0005515,GO:0005634,GO:0020002,GO:0020008,GO:0020035,GO:0050839
PF3D7_0302500	GO:0005253,GO:0005515,GO:0005634,GO:0020008,GO:0020035,GO:0050839,GO:1903561
PF3D7_0302600	GO:0016021,GO:0020011,GO:0042493,GO:0042626
PF3D7_0302700	GO:0005739
PF3D7_0302800	GO:0003729,GO:0005634
PF3D7_0302900	GO:0005634,GO:0006611,GO:0008565
PF3D7_0303000	GO:0006888,GO:0016887,GO:0020020,GO:0030430
PF3D7_0303200	GO:0005634
PF3D7_0303300	GO:0006366
PF3D7_0303400	GO:0000139,GO:0016409,GO:0018345,GO:0070258
PF3D7_0303500	GO:0005634
PF3D7_0303600	GO:0003756
PF3D7_0303700	GO:0005739
PF3D7_0303800	GO:0005634
PF3D7_0304000	GO:0044409,GO:0070258
PF3D7_0304100	GO:0005634,GO:0070258
PF3D7_0304200	GO:0005515,GO:0005829,GO:0006897,GO:0016020,GO:0031982
PF3D7_0304400	GO:0003735,GO:0005634,GO:0006412,GO:0022625
PF3D7_0304500	GO:0005829,GO:0015036,GO:0015038
PF3D7_0304600	GO:0009986,GO:0030430,GO:0042025,GO:0043395,GO:0044409,GO:0046658,GO:0046812
PF3D7_0305000	GO:0003746,GO:0005515,GO:0006414,GO:0020011
PF3D7_0305200	GO:0005634
PF3D7_0305300	GO:0016021
PF3D7_0305500	GO:0005634
PF3D7_0305600	GO:0003906,GO:0005634,GO:0005739
PF3D7_0305700	GO:0004842,GO:0006511
PF3D7_0306000	GO:0005739
PF3D7_0306200	GO:0051879
PF3D7_0306300	GO:0016209,GO:0019153
PF3D7_0306400	GO:0004368,GO:0005739,GO:0006127
PF3D7_0306500	GO:0005739
PF3D7_0306600	GO:0020011
PF3D7_0306700	GO:0034975,GO:0072546
PF3D7_0306800	GO:0005634,GO:0005829,GO:0005832,GO:0006457,GO:0051082
PF3D7_0306900	GO:0003735,GO:0005634,GO:0022627
PF3D7_0307100	GO:0003735,GO:0005634,GO:0022627
PF3D7_0307200	GO:0003735,GO:0005634,GO:0006412,GO:0022625
PF3D7_0307300	GO:0005654,GO:0005874,GO:0051010
